CODE_ISO;GMDNR;GMDNAME;AREA_HA;ACODE;ACAT;ANAME;E_CNTR;N_CNTR
CH;1;Aeugst am Albis;791;261;4;Zürich;2679300;1235700
CH;2;Affoltern am Albis;1059;261;3;Zürich;2676800;1236800
CH;3;Bonstetten;743;261;4;Zürich;2677800;1241000
CH;4;Hausen am Albis;1360;261;4;Zürich;2682900;1233100
CH;5;Hedingen;653;261;3;Zürich;2676400;1239000
CH;7;Knonau;647;1711;4;Zug;2677500;1230900
CH;8;Maschwanden;469;261;4;Zürich;2674800;1232000
CH;9;Mettmenstetten;1303;261;4;Zürich;2677600;1233000
CH;10;Obfelden;754;261;4;Zürich;2675100;1235300
CH;11;Ottenbach;502;261;4;Zürich;2673000;1237200
CH;12;Rifferswil;651;261;4;Zürich;2680100;1232800
CH;13;Stallikon;1202;261;4;Zürich;2679500;1242100
CH;14;Wettswil am Albis;377;261;4;Zürich;2678200;1243700
CH;23;Berg am Irchel;701;261;4;Zürich;2687200;1269400
CH;27;Feuerthalen;248;T_2939;2;Schaffhausen (CH);2690400;1283000
CH;29;Flurlingen;242;T_2939;2;Schaffhausen (CH);2689400;1282000
CH;34;Laufen-Uhwiesen;628;T_2939;4;Schaffhausen (CH);2689800;1280600
CH;51;Bachenbülach;431;261;3;Zürich;2683600;1262000
CH;52;Bassersdorf;903;261;2;Zürich;2689800;1255500
CH;53;Bülach;1609;261;3;Zürich;2683000;1263700
CH;54;Dietlikon;425;261;2;Zürich;2689000;1253400
CH;55;Eglisau;906;261;4;Zürich;2681600;1269900
CH;56;Embrach;1269;261;3;Zürich;2687100;1262000
CH;57;Freienstein-Teufen;840;261;3;Zürich;2686300;1265100
CH;58;Glattfelden;1229;261;4;Zürich;2680000;1268000
CH;59;Hochfelden;617;261;4;Zürich;2681200;1264100
CH;60;Höri;479;261;3;Zürich;2680600;1262400
CH;61;Hüntwangen;491;261;4;Zürich;2679200;1272200
CH;62;Kloten;1927;261;2;Zürich;2686300;1256300
CH;63;Lufingen;518;261;4;Zürich;2687200;1260500
CH;64;Nürensdorf;1004;261;4;Zürich;2691300;1255800
CH;65;Oberembrach;1026;261;4;Zürich;2688900;1260300
CH;66;Opfikon;559;261;2;Zürich;2685900;1254100
CH;67;Rafz;1068;261;4;Zürich;2682600;1274100
CH;68;Rorbas;444;261;3;Zürich;2685700;1264800
CH;69;Wallisellen;642;261;2;Zürich;2687200;1252200
CH;70;Wasterkingen;396;261;4;Zürich;2677800;1271600
CH;71;Wil (ZH);894;261;4;Zürich;2680400;1273300
CH;72;Winkel;811;261;3;Zürich;2684200;1260800
CH;81;Bachs;913;261;4;Zürich;2675400;1264300
CH;82;Boppelsen;396;261;4;Zürich;2672600;1258200
CH;83;Buchs (ZH);584;261;4;Zürich;2675400;1256800
CH;84;Dällikon;451;261;4;Zürich;2675400;1254800
CH;85;Dänikon;287;261;4;Zürich;2672900;1255400
CH;86;Dielsdorf;587;261;4;Zürich;2676500;1259600
CH;87;Hüttikon;159;261;4;Zürich;2671500;1255400
CH;88;Neerach;604;261;4;Zürich;2678000;1263000
CH;89;Niederglatt;360;261;3;Zürich;2680300;1260600
CH;90;Niederhasli;1130;261;3;Zürich;2678900;1259500
CH;91;Niederweningen;685;261;4;Zürich;2670700;1262000
CH;92;Oberglatt;825;261;3;Zürich;2681500;1259000
CH;93;Oberweningen;494;261;4;Zürich;2672900;1261700
CH;94;Otelfingen;715;261;4;Zürich;2671500;1257200
CH;95;Regensberg;237;261;4;Zürich;2675400;1259600
CH;96;Regensdorf;1462;261;3;Zürich;2677500;1253800
CH;97;Rümlang;1241;261;4;Zürich;2682400;1256200
